,iter,drug,tissue,model,transform,num_genes,balance_Weights,acc,auc
0,0,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
1,1,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
2,2,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
3,3,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
4,4,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
5,5,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
6,6,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
7,7,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
8,8,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
9,9,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
10,10,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
11,11,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
12,12,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
13,13,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
14,14,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
15,15,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
16,16,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
17,17,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
18,18,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
19,19,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
20,20,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
21,21,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
22,22,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
23,23,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
24,24,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
25,25,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
26,26,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
27,27,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
28,28,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
29,29,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
30,30,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
31,31,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
32,32,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
33,33,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
34,34,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
35,35,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
36,36,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
37,37,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
38,38,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
39,39,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
40,40,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
41,41,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
42,42,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
43,43,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
44,44,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
45,45,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
46,46,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
47,47,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
48,48,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
49,49,Atezo,BLCA,prior,tpm,5,False,0.7698744769874477,0.5
50,0,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6699604743083003
51,1,Atezo,BLCA,LR,tpm,5,False,0.7656903765690377,0.6162055335968379
52,2,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6701581027667984
53,3,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6641304347826087
54,4,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6
55,5,Atezo,BLCA,LR,tpm,5,False,0.7112970711297071,0.43774703557312256
56,6,Atezo,BLCA,LR,tpm,5,False,0.7656903765690377,0.5982213438735178
57,7,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6515810276679842
58,8,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.641798418972332
59,9,Atezo,BLCA,LR,tpm,5,False,0.7364016736401674,0.5829051383399209
60,10,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6504940711462451
61,11,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6470355731225296
62,12,Atezo,BLCA,LR,tpm,5,False,0.7656903765690377,0.5569169960474308
63,13,Atezo,BLCA,LR,tpm,5,False,0.7698744769874477,0.6728260869565218
