,iter,drug,tissue,model,transform,num_genes,balance_Weights,acc,auc
0,0,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
1,1,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
2,2,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
3,3,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
4,4,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
5,5,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
6,6,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
7,7,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
8,8,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
9,9,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
10,10,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
11,11,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
12,12,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
13,13,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
14,14,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
15,15,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
16,16,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
17,17,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
18,18,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
19,19,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
20,20,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
21,21,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
22,22,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
23,23,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
24,24,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
25,25,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
26,26,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
27,27,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
28,28,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
29,29,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
30,30,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
31,31,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
32,32,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
33,33,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
34,34,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
35,35,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
36,36,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
37,37,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
38,38,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
39,39,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
40,40,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
41,41,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
42,42,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
43,43,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
44,44,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
45,45,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
46,46,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
47,47,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
48,48,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
49,49,Nivo,SKCM,prior,tpm,5,False,0.6818181818181818,0.5
50,0,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.706547619047619
51,1,Nivo,SKCM,LR,tpm,5,True,0.6022727272727273,0.6101190476190477
52,2,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6178571428571429
53,3,Nivo,SKCM,LR,tpm,5,True,0.6590909090909091,0.6726190476190476
54,4,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6357142857142857
55,5,Nivo,SKCM,LR,tpm,5,False,0.7045454545454546,0.7422619047619048
56,6,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.6354166666666667
57,7,Nivo,SKCM,LR,tpm,5,False,0.625,0.5720238095238095
58,8,Nivo,SKCM,LR,tpm,5,False,0.6704545454545454,0.5446428571428572
59,9,Nivo,SKCM,LR,tpm,5,True,0.5340909090909091,0.5270833333333333
60,10,Nivo,SKCM,LR,tpm,5,True,0.5909090909090909,0.6494047619047619
61,11,Nivo,SKCM,LR,tpm,5,False,0.6477272727272727,0.5625
62,12,Nivo,SKCM,LR,tpm,5,True,0.6477272727272727,0.6910714285714286
63,13,Nivo,SKCM,LR,tpm,5,True,0.5909090909090909,0.5059523809523809
64,14,Nivo,SKCM,LR,tpm,5,True,0.4090909090909091,0.6124999999999999
65,15,Nivo,SKCM,LR,tpm,5,False,0.6704545454545454,0.6428571428571429
66,16,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.6288690476190476
67,17,Nivo,SKCM,LR,tpm,5,True,0.6477272727272727,0.6035714285714285
68,18,Nivo,SKCM,LR,tpm,5,False,0.6704545454545454,0.5982142857142857
69,19,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.6470238095238096
70,20,Nivo,SKCM,LR,tpm,5,False,0.7045454545454546,0.6625
71,21,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6125
72,22,Nivo,SKCM,LR,tpm,5,True,0.5909090909090909,0.5464285714285715
73,23,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6627976190476191
74,24,Nivo,SKCM,LR,tpm,5,True,0.6136363636363636,0.6470238095238096
75,25,Nivo,SKCM,LR,tpm,5,False,0.6704545454545454,0.6866071428571429
76,26,Nivo,SKCM,LR,tpm,5,False,0.7045454545454546,0.6169642857142856
77,27,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6589285714285714
78,28,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.6744047619047618
79,29,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.656547619047619
80,30,Nivo,SKCM,LR,tpm,5,False,0.6363636363636364,0.5922619047619048
81,31,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.705952380952381
82,32,Nivo,SKCM,LR,tpm,5,False,0.6704545454545454,0.6863095238095238
83,33,Nivo,SKCM,LR,tpm,5,False,0.6704545454545454,0.6574404761904762
84,34,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.5565476190476191
85,35,Nivo,SKCM,LR,tpm,5,True,0.6477272727272727,0.6535714285714286
86,36,Nivo,SKCM,LR,tpm,5,True,0.5454545454545454,0.4005952380952381
87,37,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.7119047619047619
88,38,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6571428571428571
89,39,Nivo,SKCM,LR,tpm,5,False,0.6931818181818182,0.6482142857142857
90,40,Nivo,SKCM,LR,tpm,5,False,0.6590909090909091,0.5514880952380952
91,41,Nivo,SKCM,LR,tpm,5,True,0.5340909090909091,0.3717261904761905
92,42,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6190476190476191
93,43,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6297619047619047
94,44,Nivo,SKCM,LR,tpm,5,False,0.6818181818181818,0.6574404761904762
95,45,Nivo,SKCM,LR,tpm,5,False,0.5795454545454546,0.574702380952381
96,46,Nivo,SKCM,LR,tpm,5,False,0.7045454545454546,0.6264880952380953
97,47,Nivo,SKCM,LR,tpm,5,False,0.6477272727272727,0.5880952380952381
