,iter,drug,tissue,model,transform,num_genes,balance_Weights,acc,auc
0,0,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
1,1,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
2,2,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
3,3,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
4,4,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
5,5,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
6,6,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
7,7,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
8,8,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
9,9,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
10,10,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
11,11,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
12,12,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
13,13,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
14,14,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
15,15,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
16,16,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
17,17,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
18,18,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
19,19,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
20,20,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
21,21,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
22,22,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
23,23,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
24,24,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
25,25,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
26,26,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
27,27,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
28,28,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
29,29,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
30,30,Pembro,SKCM,prior,tpm,5,False,0.5673076923076923,0.5
